Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Eisen_folie.txt
Date / time: 23.11.2022, 12:46:26
Sample: Eisenfolie
Comments: 63mV Antriebsspannung, 25µm Eisenfolie
Channel #	Counts	Counts (folded)
      0	  15563	  31045
      1	  15520	  31095
      2	  15703	  31384
      3	  15689	  31098
      4	  15484	  31025
      5	  15401	  30788
      6	  15542	  31258
      7	  15668	  31257
      8	  15437	  30980
      9	  15807	  31503
     10	  15242	  30785
     11	  15616	  31096
     12	  15540	  31150
     13	  15546	  31329
     14	  15455	  30946
     15	  15383	  31021
     16	  15439	  31097
     17	  15422	  30982
     18	  15408	  30950
     19	  15586	  31095
     20	  15591	  31214
     21	  15706	  31163
     22	  15387	  30758
     23	  15451	  30902
     24	  15681	  31293
     25	  15487	  31098
     26	  15405	  30918
     27	  15526	  30964
     28	  15312	  30789
     29	  15568	  31173
     30	  15386	  30644
     31	  15390	  31187
     32	  15395	  31129
     33	  15338	  30941
     34	  15518	  31107
     35	  15349	  31004
     36	  15538	  31032
     37	  15547	  31256
     38	  15400	  30908
     39	  15577	  31125
     40	  15409	  31132
     41	  15594	  31169
     42	  15469	  31187
     43	  15604	  31208
     44	  15468	  31091
     45	  15422	  31236
     46	  15405	  30897
     47	  15398	  31093
     48	  15676	  31220
     49	  15543	  31079
     50	  15653	  31320
     51	  15591	  31277
     52	  15490	  31084
     53	  15390	  30961
     54	  15484	  30950
     55	  15537	  31102
     56	  15435	  30886
     57	  15369	  30866
     58	  15459	  30918
     59	  15502	  30984
     60	  15494	  31164
     61	  15377	  30967
     62	  15460	  30968
     63	  15494	  30887
     64	  15545	  30891
     65	  15473	  30964
     66	  15450	  31036
     67	  15564	  31100
     68	  15657	  31300
     69	  15500	  31049
     70	  15516	  31220
     71	  15325	  31056
     72	  15523	  31359
     73	  15555	  31242
     74	  15607	  31337
     75	  15465	  30938
     76	  15618	  31075
     77	  15490	  30959
     78	  15559	  30855
     79	  15263	  30791
     80	  15649	  30985
     81	  15255	  30724
     82	  15653	  31085
     83	  15564	  30915
     84	  15623	  31216
     85	  15319	  30673
     86	  15583	  31394
     87	  15417	  30989
     88	  15467	  30984
     89	  15449	  31191
     90	  15332	  30822
     91	  15521	  31126
     92	  15726	  31296
     93	  15594	  31184
     94	  15543	  30969
     95	  15423	  30904
     96	  15428	  30919
     97	  15410	  30751
     98	  15442	  30942
     99	  15707	  31292
    100	  15545	  31112
    101	  15555	  31241
    102	  15584	  31151
    103	  15408	  31102
    104	  15388	  30799
    105	  15392	  30835
    106	  15341	  30935
    107	  15518	  31129
    108	  15514	  31162
    109	  15259	  30840
    110	  15615	  31029
    111	  15583	  31101
    112	  15540	  31038
    113	  15650	  31191
    114	  15361	  31008
    115	  15496	  31241
    116	  15788	  31228
    117	  15661	  31078
    118	  15573	  31135
    119	  15534	  30916
    120	  15455	  30905
    121	  15657	  31186
    122	  15405	  30788
    123	  15500	  30990
    124	  15573	  31023
    125	  15409	  30965
    126	  15328	  30853
    127	  15273	  30596
    128	  15376	  30825
    129	  15482	  30877
    130	  15606	  31237
    131	  15577	  31104
    132	  15514	  31087
    133	  15629	  31150
    134	  15312	  30982
    135	  15330	  30961
    136	  15526	  30956
    137	  15521	  31075
    138	  15239	  30808
    139	  15410	  30794
    140	  15623	  31524
    141	  15521	  31055
    142	  15687	  31183
    143	  15304	  30650
    144	  15458	  30918
    145	  15675	  31200
    146	  15556	  31011
    147	  15768	  31161
    148	  15525	  30988
    149	  15431	  30806
    150	  15417	  30942
    151	  15344	  30817
    152	  15235	  30564
    153	  15357	  30616
    154	  15261	  30807
    155	  15368	  30735
    156	  15335	  30649
    157	  15135	  30272
    158	  15401	  30536
    159	  15386	  30398
    160	  15020	  30202
    161	  15197	  30009
    162	  15102	  29808
    163	  15123	  29090
    164	  14679	  28326
    165	  14552	  27561
    166	  14318	  26303
    167	  13706	  25655
    168	  13000	  25160
    169	  12356	  25314
    170	  12064	  25558
    171	  12037	  26180
    172	  12745	  27273
    173	  13569	  28307
    174	  13861	  28838
    175	  14502	  29510
    176	  14818	  30021
    177	  14977	  30126
    178	  14902	  30394
    179	  15159	  30675
    180	  15151	  30462
    181	  15350	  30725
    182	  15440	  30810
    183	  15272	  30671
    184	  15542	  31116
    185	  15512	  30786
    186	  15413	  30781
    187	  15460	  30997
    188	  15436	  30722
    189	  15462	  31112
    190	  15632	  31021
    191	  15811	  31491
    192	  15447	  31031
    193	  15344	  30714
    194	  15502	  30997
    195	  15555	  30891
    196	  15465	  30940
    197	  15335	  30425
    198	  15428	  30703
    199	  15260	  30376
    200	  15532	  30662
    201	  15280	  30183
    202	  14984	  29807
    203	  15116	  29260
    204	  15082	  28348
    205	  14804	  27721
    206	  14578	  27144
    207	  13808	  26792
    208	  13229	  27043
    209	  12445	  26872
    210	  12707	  27396
    211	  13547	  28618
    212	  14003	  28991
    213	  14461	  29835
    214	  14874	  30152
    215	  14930	  30341
    216	  15252	  30737
    217	  15194	  30704
    218	  15270	  30722
    219	  15252	  30708
    220	  15379	  30931
    221	  15644	  31055
    222	  15469	  30850
    223	  15418	  30722
    224	  15467	  31139
    225	  15495	  30800
    226	  15536	  31087
    227	  15532	  31173
    228	  15416	  31005
    229	  15383	  30993
    230	  15398	  30976
    231	  15434	  30911
    232	  15500	  30845
    233	  15289	  30730
    234	  15663	  31099
    235	  15496	  30741
    236	  15292	  30687
    237	  15537	  30913
    238	  15312	  30250
    239	  15190	  29994
    240	  15265	  29844
    241	  15029	  28846
    242	  14994	  28620
    243	  14501	  28402
    244	  14209	  28554
    245	  13820	  28850
    246	  13711	  28884
    247	  14043	  29270
    248	  14869	  30191
    249	  14936	  30144
    250	  15141	  30482
    251	  15392	  30949
    252	  15393	  31014
    253	  15413	  30946
    254	  15571	  31062
    255	  15252	  30822
    256	  15236	  30559
    257	  15320	  30681
    258	  15513	  31045
    259	  15662	  30838
    260	  15717	  31209
    261	  15354	  30906
    262	  15435	  30661
    263	  15393	  30831
    264	  15328	  30560
    265	  15415	  30502
    266	  15264	  30251
    267	  15240	  29731
    268	  15062	  28893
    269	  14861	  28421
    270	  14478	  28489
    271	  13979	  28512
    272	  13638	  28684
    273	  13808	  28903
    274	  14291	  29495
    275	  14647	  30185
    276	  14993	  30362
    277	  15260	  30655
    278	  15259	  30785
    279	  15424	  30737
    280	  15406	  30808
    281	  15442	  31035
    282	  15474	  30673
    283	  15342	  30765
    284	  15643	  31255
    285	  15278	  30935
    286	  15564	  31163
    287	  15447	  30822
    288	  15262	  30658
    289	  15501	  31032
    290	  15359	  30786
    291	  15360	  30905
    292	  15588	  31135
    293	  15443	  30748
    294	  15237	  30659
    295	  15601	  30884
    296	  15438	  30769
    297	  15326	  30716
    298	  15386	  30819
    299	  15394	  30807
    300	  15337	  30163
    301	  15443	  30131
    302	  15181	  29596
    303	  15147	  29082
    304	  14772	  28145
    305	  14373	  26729
    306	  13912	  26782
    307	  13348	  26852
    308	  12682	  26504
    309	  12502	  27136
    310	  13168	  27941
    311	  14045	  29160
    312	  14666	  29953
    313	  14795	  30142
    314	  15219	  30531
    315	  15270	  30481
    316	  15193	  30416
    317	  15467	  30880
    318	  15514	  30852
    319	  15473	  30984
    320	  15392	  30722
    321	  15252	  30677
