Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Fe2O3
Date / time: 28.11.2022, 14:13:43
Sample: Eisen(III)-Oxid
Comments: 83mV Antriebsspannung, Eisen(III)-Oxid-Pulver, 0.051g
Channel #	Counts	Counts (folded)
      0	 491074	 980838
      1	 490163	 980287
      2	 490853	 982114
      3	 490286	 981603
      4	 489879	 979183
      5	 489559	 977995
      6	 490823	 980300
      7	 490061	 980642
      8	 489444	 980212
      9	 490243	 980991
     10	 489932	 980311
     11	 489692	 980367
     12	 490655	 981593
     13	 491132	 981960
     14	 489724	 979374
     15	 489804	 980711
     16	 490052	 980791
     17	 489856	 978963
     18	 490188	 980263
     19	 488991	 979494
     20	 490484	 980690
     21	 489460	 979392
     22	 488597	 978011
     23	 489648	 979432
     24	 488834	 979186
     25	 492113	 982471
     26	 491473	 980389
     27	 491257	 980496
     28	 489436	 979106
     29	 490118	 979488
     30	 490116	 979601
     31	 489228	 979684
     32	 491044	 981179
     33	 490854	 982162
     34	 489496	 979745
     35	 491956	 982269
     36	 490744	 979971
     37	 489800	 978397
     38	 490177	 978555
     39	 490344	 980084
     40	 488971	 977986
     41	 489390	 979100
     42	 490068	 980407
     43	 491100	 980626
     44	 490223	 979266
     45	 489507	 979214
     46	 490120	 979583
     47	 489490	 978781
     48	 490783	 980493
     49	 490477	 981291
     50	 490250	 979409
     51	 489822	 978926
     52	 490735	 981571
     53	 491989	 981403
     54	 490245	 980591
     55	 490248	 980448
     56	 490732	 980876
     57	 489331	 980439
     58	 490677	 980508
     59	 490290	 980203
     60	 488921	 979082
     61	 490384	 980893
     62	 489227	 978968
     63	 489302	 980142
     64	 490660	 980413
     65	 490103	 979910
     66	 489916	 979959
     67	 490555	 979468
     68	 489696	 978497
     69	 489403	 979454
     70	 489702	 979214
     71	 491766	 980899
     72	 491597	 981260
     73	 490429	 980534
     74	 489826	 979156
     75	 489005	 978966
     76	 491320	 980267
     77	 491125	 980616
     78	 489776	 979247
     79	 490698	 980471
     80	 490283	 977905
     81	 489805	 979293
     82	 490450	 979413
     83	 490085	 978162
     84	 490602	 979086
     85	 490009	 978972
     86	 490838	 978938
     87	 488821	 978491
     88	 490605	 980114
     89	 491626	 980887
     90	 490040	 980127
     91	 491093	 980480
     92	 489459	 977941
     93	 490490	 980466
     94	 491896	 980294
     95	 491323	 982022
     96	 488901	 977922
     97	 490475	 979818
     98	 491281	 981868
     99	 489046	 977238
    100	 491264	 979833
    101	 490044	 978719
    102	 489921	 978047
    103	 490702	 979879
    104	 490620	 980257
    105	 489948	 979476
    106	 490294	 978567
    107	 490865	 980252
    108	 489515	 978677
    109	 489895	 979006
    110	 489661	 978017
    111	 489730	 979128
    112	 490770	 980391
    113	 490157	 980220
    114	 489768	 978502
    115	 490262	 978498
    116	 489590	 978171
    117	 489776	 978988
    118	 490657	 980088
    119	 489589	 979913
    120	 490000	 979005
    121	 490398	 978511
    122	 489199	 976347
    123	 489255	 976794
    124	 489627	 977393
    125	 488337	 976208
    126	 489010	 975839
    127	 489135	 976496
    128	 487940	 974857
    129	 488577	 973973
    130	 487435	 972401
    131	 487675	 973621
    132	 487559	 971307
    133	 486656	 970533
    134	 486223	 968458
    135	 486701	 966221
    136	 485153	 962960
    137	 484542	 958257
    138	 483767	 950880
    139	 480615	 938669
    140	 476348	 918789
    141	 471807	 899985
    142	 463602	 877086
    143	 451414	 856334
    144	 434637	 846667
    145	 420773	 849943
    146	 408417	 856195
    147	 408859	 870873
    148	 422373	 893900
    149	 442920	 918562
    150	 459745	 939078
    151	 468697	 950489
    152	 477213	 960540
    153	 479084	 963510
    154	 481971	 967371
    155	 482360	 968614
    156	 485852	 971995
    157	 486227	 971769
    158	 487159	 973913
    159	 487653	 974845
    160	 487981	 974170
    161	 487763	 975562
    162	 489263	 977405
    163	 487922	 975863
    164	 487985	 975882
    165	 489292	 978292
    166	 489014	 976760
    167	 489615	 978312
    168	 488596	 977098
    169	 489354	 977234
    170	 489832	 977924
    171	 490092	 978884
    172	 489883	 977876
    173	 490740	 977612
    174	 489507	 978008
    175	 489693	 976776
    176	 489713	 977764
    177	 490562	 978574
    178	 488327	 976166
    179	 490068	 977485
    180	 489817	 976660
    181	 487052	 972879
    182	 488722	 972835
    183	 488406	 971052
    184	 487043	 967187
    185	 485960	 962866
    186	 484867	 954099
    187	 483574	 941109
    188	 479292	 916142
    189	 473440	 894260
    190	 464670	 884474
    191	 448987	 889914
    192	 427607	 888558
    193	 419810	 892487
    194	 433716	 911993
    195	 455778	 936274
    196	 469087	 953497
    197	 477372	 961911
    198	 482754	 968636
    199	 484670	 970721
