Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
      0	  20445	  40996
      1	  20277	  40961
      2	  20374	  40859
      3	  20457	  40853
      4	  20386	  41071
      5	  20560	  41116
      6	  20422	  40824
      7	  20108	  40517
      8	  20419	  40902
      9	  20226	  40681
     10	  20383	  40682
     11	  20332	  40826
     12	  20197	  40558
     13	  20316	  40913
     14	  20373	  40720
     15	  20528	  41128
     16	  20545	  40909
     17	  20160	  40729
     18	  20372	  40954
     19	  20596	  40851
     20	  20531	  41180
     21	  20446	  40923
     22	  20335	  40943
     23	  20220	  40732
     24	  20431	  40825
     25	  20479	  41288
     26	  20531	  41106
     27	  20216	  40738
     28	  20516	  41026
     29	  20366	  40887
     30	  20347	  40902
     31	  20605	  40996
     32	  20424	  40781
     33	  20444	  41008
     34	  20528	  41186
     35	  20558	  41073
     36	  20342	  40922
     37	  20593	  41146
     38	  20257	  40831
     39	  20381	  40895
     40	  20187	  40516
     41	  20149	  40751
     42	  20451	  40957
     43	  20470	  40958
     44	  20468	  40978
     45	  20568	  41085
     46	  20497	  40834
     47	  20347	  40687
     48	  20521	  40967
     49	  20432	  40680
     50	  20361	  40881
     51	  20442	  40975
     52	  20609	  41048
     53	  20439	  41124
     54	  20430	  40845
     55	  20499	  41021
     56	  20388	  40691
     57	  20647	  41221
     58	  20208	  40784
     59	  20314	  40608
     60	  20345	  40864
     61	  20462	  41111
     62	  20469	  41009
     63	  20461	  40729
     64	  20349	  40662
     65	  20307	  40653
     66	  20177	  40638
     67	  20475	  41255
     68	  20491	  41077
     69	  20450	  41123
     70	  20362	  40864
     71	  20339	  40782
     72	  20291	  41081
     73	  20592	  41136
     74	  20444	  40951
     75	  20541	  41006
     76	  20362	  40740
     77	  20510	  40762
     78	  20219	  40569
     79	  20603	  41447
     80	  20638	  41242
     81	  20212	  40851
     82	  20474	  40930
     83	  20525	  40699
     84	  20521	  40937
     85	  20486	  40750
     86	  20511	  41152
     87	  20425	  40959
     88	  20421	  41002
     89	  20510	  41160
     90	  20439	  40908
     91	  20378	  40783
     92	  20520	  40833
     93	  20406	  40986
     94	  20436	  41003
     95	  20665	  41298
     96	  20372	  41064
     97	  20480	  40933
     98	  20321	  40939
     99	  20256	  40791
    100	  20355	  40966
    101	  20606	  41392
    102	  20522	  40992
    103	  20432	  40793
    104	  20495	  40823
    105	  20247	  40692
    106	  20480	  40897
    107	  20406	  40665
