Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\gelbes_Salz.txt
Date / time: 30.11.2022, 10:07:38
Sample: gelbes Blutlaugensalz
Comments: 20mV Antriebsspannung, gelbes Blutlaugensalz
Channel #	Counts	Counts (folded)
      0	 200812	 401630
      1	 200871	 402414
      2	 200894	 401516
      3	 200940	 401957
      4	 200166	 401753
      5	 200916	 401995
      6	 201636	 402798
      7	 200971	 401776
      8	 201265	 402789
      9	 200929	 402486
     10	 199719	 402098
     11	 201747	 402514
     12	 200859	 402056
     13	 201412	 401821
     14	 201170	 401584
     15	 201402	 402555
     16	 201339	 402734
     17	 200971	 402528
     18	 201463	 402924
     19	 201658	 403041
     20	 201433	 402197
     21	 200632	 401555
     22	 200881	 402175
     23	 200476	 401455
     24	 201087	 402423
     25	 200418	 401116
     26	 201349	 402331
     27	 201034	 402814
     28	 201045	 401704
     29	 201205	 402314
     30	 200864	 400813
     31	 201096	 401530
     32	 200680	 402287
     33	 200779	 401305
     34	 201227	 402630
     35	 200221	 400663
     36	 201038	 401680
     37	 200365	 401551
     38	 201412	 403337
     39	 201480	 402603
     40	 200685	 401397
     41	 201057	 402077
     42	 200520	 401708
     43	 201187	 402308
     44	 200645	 401339
     45	 200965	 401462
     46	 201116	 401696
     47	 201016	 402234
     48	 201182	 401582
     49	 201188	 402333
     50	 201800	 403305
     51	 200853	 402005
     52	 201648	 402773
     53	 201288	 403130
     54	 200224	 401372
     55	 201377	 402923
     56	 200360	 400792
     57	 200768	 402230
     58	 200002	 400634
     59	 201449	 403141
     60	 200794	 401704
     61	 200914	 401752
     62	 201288	 401522
     63	 201439	 403006
     64	 200823	 402472
     65	 201524	 402492
     66	 201132	 401749
     67	 201004	 402409
     68	 201781	 402888
     69	 201388	 401772
     70	 201467	 402308
     71	 200208	 401534
     72	 200946	 401272
     73	 200899	 401264
     74	 200671	 402047
     75	 200174	 400969
     76	 200740	 401608
     77	 200370	 401955
     78	 200743	 401425
     79	 201005	 402530
     80	 200782	 401848
     81	 201051	 403239
     82	 201061	 402097
     83	 201107	 401460
     84	 201142	 401934
     85	 202004	 402619
     86	 200784	 402109
     87	 200813	 402159
     88	 200990	 401949
     89	 200201	 401377
     90	 201530	 403257
     91	 201683	 401590
     92	 200625	 401492
     93	 201613	 402750
     94	 200763	 401985
     95	 200984	 401447
     96	 201024	 401638
     97	 200142	 401317
     98	 200624	 401547
     99	 201162	 402095
    100	 201158	 402563
    101	 200268	 401254
    102	 201408	 403580
    103	 201456	 403068
    104	 201213	 402300
    105	 201127	 401738
    106	 201089	 402119
    107	 200925	 402768
    108	 201291	 401966
    109	 201623	 401617
    110	 201409	 402161
    111	 201350	 402410
    112	 201015	 401754
    113	 201313	 402469
    114	 200733	 401767
    115	 200824	 402146
    116	 200957	 401088
    117	 201535	 402003
