Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\rotes_salz.txt
Date / time: 30.11.2022, 13:46:27
Sample: rotes Blutlaugensalz
Comments: 10mV Antriebsspannung, rotes Blutlaugensalz
Channel #	Counts	Counts (folded)
      0	  18802	  37511
      1	  18602	  36954
      2	  18788	  37506
      3	  18526	  37155
      4	  18691	  36995
      5	  18542	  37276
      6	  18536	  37245
      7	  18543	  37366
      8	  18685	  37250
      9	  18343	  36878
     10	  18620	  37392
     11	  18662	  37139
     12	  18414	  37144
     13	  18424	  37092
     14	  18540	  37139
     15	  18709	  37232
     16	  18835	  37602
     17	  18666	  37443
     18	  18824	  37323
     19	  18438	  37100
     20	  18593	  37086
     21	  18644	  37112
     22	  18901	  37671
     23	  18825	  37344
     24	  18443	  37259
     25	  18706	  37474
     26	  18503	  37203
     27	  18638	  37202
     28	  18544	  37212
     29	  18800	  37588
     30	  18734	  37397
     31	  18458	  37254
     32	  18577	  37356
     33	  18698	  37203
     34	  18656	  37231
     35	  18574	  37128
     36	  18726	  37282
     37	  18549	  37252
     38	  18591	  37098
     39	  18535	  37059
     40	  18625	  37398
     41	  18755	  37406
     42	  18622	  37299
     43	  18772	  37418
     44	  18574	  37303
     45	  18658	  37280
     46	  18736	  37583
     47	  18321	  37209
     48	  18708	  37416
     49	  18715	  37351
     50	  18780	  37350
     51	  18680	  37566
     52	  18944	  37470
     53	  18438	  36997
     54	  18774	  37583
     55	  18543	  37135
     56	  18393	  37173
     57	  18562	  37312
     58	  18706	  37331
     59	  18858	  37445
     60	  18637	  37284
     61	  18669	  37474
     62	  18617	  37255
     63	  18628	  37271
     64	  18510	  36982
     65	  18619	  37348
     66	  18638	  37347
     67	  18431	  37092
     68	  18798	  37488
     69	  18780	  37357
     70	  18388	  37112
     71	  18505	  37399
     72	  18449	  36923
     73	  18507	  37197
     74	  18617	  37213
     75	  18547	  37260
     76	  18656	  37149
     77	  18586	  37203
     78	  18523	  37236
     79	  18595	  37272
     80	  18532	  37372
     81	  18814	  37328
     82	  18569	  36952
     83	  18818	  37479
