! Start: 27°
! Ende: 30°
! Schritt: 0,02°
! Messzeit: 2s
#2Theta  I (pcs)
27.0000   0
27.0200   48
27.0400   38
27.0600   47
27.0800   50
27.1000   52
27.1200   41
27.1400   38
27.1600   50
27.1800   39
27.2000   33
27.2200   45
27.2400   46
27.2600   39
27.2800   37
27.3000   42
27.3200   38
27.3400   47
27.3600   49
27.3800   39
27.4000   44
27.4200   46
27.4400   44
27.4600   58
27.4800   43
27.5000   40
27.5200   36
27.5400   45
27.5600   42
27.5800   38
27.6000   51
27.6200   50
27.6400   62
27.6600   51
27.6800   43
27.7000   41
27.7200   61
27.7400   51
27.7600   63
27.7800   57
27.8000   48
27.8200   57
27.8400   52
27.8600   55
27.8800   55
27.9000   48
27.9200   55
27.9400   60
27.9600   75
27.9800   62
28.0000   60
28.0200   56
28.0400   74
28.0600   88
28.0800   58
28.1000   67
28.1200   70
28.1400   86
28.1600   103
28.1800   99
28.2000   92
28.2200   116
28.2400   113
28.2600   103
28.2800   121
28.3000   123
28.3200   130
28.3400   128
28.3600   146
28.3800   146
28.4000   170
28.4200   175
28.4400   171
28.4600   190
28.4800   226
28.5000   214
28.5200   255
28.5400   241
28.5600   235
28.5800   287
28.6000   261
28.6200   277
28.6400   279
28.6600   263
28.6800   305
28.7000   300
28.7200   262
28.7400   275
28.7600   211
28.7800   243
28.8000   219
28.8200   231
28.8400   202
28.8600   192
28.8800   164
28.9000   169
28.9200   141
28.9400   146
28.9600   139
28.9800   110
29.0000   107
29.0200   102
29.0400   101
29.0600   96
29.0800   90
29.1000   87
29.1200   88
29.1400   74
29.1600   81
29.1800   82
29.2000   77
29.2200   59
29.2400   55
29.2600   78
29.2800   51
29.3000   58
29.3200   51
29.3400   54
29.3600   48
29.3800   56
29.4000   54
29.4200   49
29.4400   51
29.4600   51
29.4800   43
29.5000   53
29.5200   44
29.5400   44
29.5600   47
29.5800   41
29.6000   42
29.6200   36
29.6400   32
29.6600   36
29.6800   31
29.7000   38
29.7200   38
29.7400   42
29.7600   35
29.7800   49
29.8000   25
29.8200   29
29.8400   33
29.8600   37
29.8800   37
29.9000   40
29.9200   38
29.9400   38
29.9600   40
29.9800   34
30.0000   33
