! Start: 55°
! Ende: 58°
! Schritt: 0,02°
! Messzeit: 2s
#2Theta  I (pcs)
55.0000   14
55.0200   17
55.0400   17
55.0600   10
55.0800   14
55.1000   13
55.1200   15
55.1400   11
55.1600   16
55.1800   9
55.2000   12
55.2200   14
55.2400   13
55.2600   18
55.2800   10
55.3000   13
55.3200   15
55.3400   12
55.3600   18
55.3800   9
55.4000   7
55.4200   17
55.4400   11
55.4600   13
55.4800   15
55.5000   17
55.5200   10
55.5400   13
55.5600   11
55.5800   14
55.6000   18
55.6200   11
55.6400   13
55.6600   18
55.6800   23
55.7000   28
55.7200   20
55.7400   15
55.7600   17
55.7800   12
55.8000   19
55.8200   22
55.8400   20
55.8600   26
55.8800   31
55.9000   35
55.9200   29
55.9400   26
55.9600   37
55.9800   45
56.0000   41
56.0200   53
56.0400   45
56.0600   56
56.0800   58
56.1000   78
56.1200   89
56.1400   108
56.1600   130
56.1800   171
56.2000   222
56.2200   323
56.2400   446
56.2600   588
56.2800   737
56.3000   936
56.3200   1039
56.3400   1120
56.3600   914
56.3800   786
56.4000   665
56.4200   573
56.4400   532
56.4600   476
56.4800   560
56.5000   500
56.5200   428
56.5400   297
56.5600   228
56.5800   135
56.6000   109
56.6200   82
56.6400   54
56.6600   56
56.6800   57
56.7000   39
56.7200   32
56.7400   34
56.7600   28
56.7800   38
56.8000   26
56.8200   20
56.8400   20
56.8600   22
56.8800   22
56.9000   8
56.9200   24
56.9400   22
56.9600   13
56.9800   15
57.0000   14
57.0200   20
57.0400   14
57.0600   18
57.0800   19
57.1000   13
57.1200   11
57.1400   15
57.1600   17
57.1800   8
57.2000   8
57.2200   9
57.2400   10
57.2600   9
57.2800   10
57.3000   8
57.3200   8
57.3400   11
57.3600   5
57.3800   14
57.4000   13
57.4200   9
57.4400   4
57.4600   9
57.4800   5
57.5000   11
57.5200   14
57.5400   14
57.5600   12
57.5800   4
57.6000   6
57.6200   7
57.6400   10
57.6600   14
57.6800   14
57.7000   6
57.7200   4
57.7400   6
57.7600   3
57.7800   2
57.8000   9
57.8200   9
57.8400   12
57.8600   8
57.8800   5
57.9000   8
57.9200   7
57.9400   6
57.9600   6
57.9800   5
